open,high,low,last,close,volume,date,symbol,exchange
217.965,220.44,217.88,,219.56,,2020-03-23T23:35:00+0000,AAPL,IEXG
217.79,226.69,217.49,,223.98,,2020-03-23T23:30:00+0000,AAPL,IEXG
217.35,218.36,217.12,,217.73,,2020-03-23T23:25:00+0000,AAPL,IEXG
218.8,218.91,217.12,,217.73,,2020-03-23T23:20:00+0000,AAPL,IEXG
219.79,220.01,217.12,,217.73,,2020-03-23T23:15:00+0000,AAPL,IEXG
219.94,220.01,218.92,,219.33,,2020-03-23T23:10:00+0000,AAPL,IEXG
220.335,220.56,219.875,,220.0,,2020-03-23T23:05:00+0000,AAPL,IEXG
220.22,226.69,217.12,,223.98,,2020-03-23T23:00:00+0000,AAPL,IEXG
220.5,221.31,219.755,,219.97,,2020-03-23T22:55:00+0000,AAPL,IEXG
222.02,222.02,219.755,,219.97,,2020-03-23T22:50:00+0000,AAPL,IEXG
220.93,222.3,219.755,,219.97,,2020-03-23T22:45:00+0000,AAPL,IEXG
220.12,222.3,219.55,,222.03,,2020-03-23T22:40:00+0000,AAPL,IEXG
219.81,220.61,219.16,,219.935,,2020-03-23T22:35:00+0000,AAPL,IEXG
221.13,222.3,219.16,,219.97,,2020-03-23T22:30:00+0000,AAPL,IEXG
219.85,221.635,219.125,,221.05,,2020-03-23T22:25:00+0000,AAPL,IEXG
219.76,221.635,218.28,,221.05,,2020-03-23T22:20:00+0000,AAPL,IEXG
220.4,221.635,218.28,,221.05,,2020-03-23T22:15:00+0000,AAPL,IEXG
219.555,221.11,219.51,,219.81,,2020-03-23T22:10:00+0000,AAPL,IEXG
219.95,221.185,219.605,,219.64,,2020-03-23T22:05:00+0000,AAPL,IEXG
221.38,222.3,218.28,,219.97,,2020-03-23T22:00:00+0000,AAPL,IEXG
223.21,223.3,220.14,,221.405,,2020-03-23T21:55:00+0000,AAPL,IEXG
224.37,224.39,220.14,,221.405,,2020-03-23T21:50:00+0000,AAPL,IEXG
221.0,224.435,220.14,,221.405,,2020-03-23T21:45:00+0000,AAPL,IEXG
221.89,224.435,220.47,,224.39,,2020-03-23T21:40:00+0000,AAPL,IEXG
222.245,223.18,221.17,,221.48,,2020-03-23T21:35:00+0000,AAPL,IEXG
221.9,224.435,220.14,,221.405,,2020-03-23T21:30:00+0000,AAPL,IEXG
224.16,224.18,221.87,,221.98,,2020-03-23T21:25:00+0000,AAPL,IEXG
224.82,226.09,221.87,,221.98,,2020-03-23T21:20:00+0000,AAPL,IEXG
226.77,226.77,221.87,,221.98,,2020-03-23T21:15:00+0000,AAPL,IEXG
223.73,227.06,223.725,,225.01,,2020-03-23T21:10:00+0000,AAPL,IEXG
223.25,224.0,222.675,,223.7,,2020-03-23T21:05:00+0000,AAPL,IEXG
224.79,227.06,220.14,,221.405,,2020-03-23T21:00:00+0000,AAPL,IEXG
222.335,225.37,222.315,,224.76,,2020-03-23T20:55:00+0000,AAPL,IEXG
223.0,225.37,221.78,,224.76,,2020-03-23T20:50:00+0000,AAPL,IEXG
222.55,225.37,221.06,,224.76,,2020-03-23T20:45:00+0000,AAPL,IEXG
220.39,223.225,220.39,,223.07,,2020-03-23T20:40:00+0000,AAPL,IEXG
219.25,220.85,218.9,,220.47,,2020-03-23T20:35:00+0000,AAPL,IEXG
219.28,225.37,218.14,,224.76,,2020-03-23T20:30:00+0000,AAPL,IEXG
218.98,219.66,218.15,,219.21,,2020-03-23T20:25:00+0000,AAPL,IEXG
218.88,220.21,218.15,,219.21,,2020-03-23T20:20:00+0000,AAPL,IEXG
216.26,220.21,216.26,,219.21,,2020-03-23T20:15:00+0000,AAPL,IEXG
215.61,219.06,215.3,,218.78,,2020-03-23T20:10:00+0000,AAPL,IEXG
216.81,217.25,216.29,,216.29,,2020-03-23T20:05:00+0000,AAPL,IEXG
216.92,227.06,215.3,,223.98,,2020-03-23T20:00:00+0000,AAPL,IEXG
215.83,216.9,214.825,,216.74,,2020-03-23T19:55:00+0000,AAPL,IEXG
213.19,216.9,212.83,,216.74,,2020-03-23T19:50:00+0000,AAPL,IEXG
213.165,216.9,212.81,,216.74,,2020-03-23T19:45:00+0000,AAPL,IEXG
214.38,214.99,212.785,,213.06,,2020-03-23T19:40:00+0000,AAPL,IEXG
215.29,215.77,214.65,,214.81,,2020-03-23T19:35:00+0000,AAPL,IEXG
215.14,216.9,212.785,,216.74,,2020-03-23T19:30:00+0000,AAPL,IEXG
215.235,216.01,213.71,,215.07,,2020-03-23T19:25:00+0000,AAPL,IEXG
217.01,217.01,213.71,,215.07,,2020-03-23T19:20:00+0000,AAPL,IEXG
218.06,218.59,213.71,,215.07,,2020-03-23T19:15:00+0000,AAPL,IEXG
219.51,220.315,216.83,,216.83,,2020-03-23T19:10:00+0000,AAPL,IEXG
220.54,220.77,219.27,,219.31,,2020-03-23T19:05:00+0000,AAPL,IEXG
219.14,221.03,212.785,,216.74,,2020-03-23T19:00:00+0000,AAPL,IEXG
220.36,220.44,218.71,,219.085,,2020-03-23T18:55:00+0000,AAPL,IEXG
221.75,222.37,218.71,,219.085,,2020-03-23T18:50:00+0000,AAPL,IEXG
222.365,222.45,218.71,,219.085,,2020-03-23T18:45:00+0000,AAPL,IEXG
222.67,223.59,220.98,,221.7,,2020-03-23T18:40:00+0000,AAPL,IEXG
222.74,223.055,221.62,,221.965,,2020-03-23T18:35:00+0000,AAPL,IEXG
221.86,223.59,218.71,,219.085,,2020-03-23T18:30:00+0000,AAPL,IEXG
222.08,222.27,221.0,,221.8,,2020-03-23T18:25:00+0000,AAPL,IEXG
220.86,222.27,220.0,,221.8,,2020-03-23T18:20:00+0000,AAPL,IEXG
224.155,224.5,220.0,,221.8,,2020-03-23T18:15:00+0000,AAPL,IEXG
221.8,224.5,221.0,,221.16,,2020-03-23T18:10:00+0000,AAPL,IEXG
221.38,222.79,221.345,,221.83,,2020-03-23T18:05:00+0000,AAPL,IEXG
224.1,224.5,218.71,,219.085,,2020-03-23T18:00:00+0000,AAPL,IEXG
223.3,224.56,223.18,,224.055,,2020-03-23T17:55:00+0000,AAPL,IEXG
223.62,225.0,222.69,,224.055,,2020-03-23T17:50:00+0000,AAPL,IEXG
220.755,225.0,219.995,,224.055,,2020-03-23T17:45:00+0000,AAPL,IEXG
220.37,224.36,219.995,,223.5,,2020-03-23T17:40:00+0000,AAPL,IEXG
224.77,225.44,218.14,,220.36,,2020-03-23T17:35:00+0000,AAPL,IEXG
228.19,228.19,218.14,,224.055,,2020-03-23T17:30:00+0000,AAPL,IEXG
229.05,229.05,229.05,,229.05,,2020-03-21T00:00:00+0000,AAPL,IEXG
229.98,232.19,228.0,,229.05,,2020-03-20T23:55:00+0000,AAPL,IEXG
231.89,232.19,228.0,,229.05,,2020-03-20T23:50:00+0000,AAPL,IEXG
235.59,236.89,228.0,,229.05,,2020-03-20T23:45:00+0000,AAPL,IEXG
235.325,236.89,232.24,,232.36,,2020-03-20T23:40:00+0000,AAPL,IEXG
239.54,239.545,235.36,,235.5,,2020-03-20T23:35:00+0000,AAPL,IEXG
241.77,242.38,228.0,,229.05,,2020-03-20T23:30:00+0000,AAPL,IEXG
240.13,242.66,240.0,,242.01,,2020-03-20T23:25:00+0000,AAPL,IEXG
240.48,242.66,240.0,,242.01,,2020-03-20T23:20:00+0000,AAPL,IEXG
241.93,242.66,240.0,,242.01,,2020-03-20T23:15:00+0000,AAPL,IEXG
241.975,243.0,240.0,,240.0,,2020-03-20T23:10:00+0000,AAPL,IEXG
241.38,242.36,241.38,,242.105,,2020-03-20T23:05:00+0000,AAPL,IEXG
241.535,243.0,228.0,,229.05,,2020-03-20T23:00:00+0000,AAPL,IEXG
242.215,242.37,241.03,,241.5,,2020-03-20T22:55:00+0000,AAPL,IEXG
243.64,243.98,241.03,,241.5,,2020-03-20T22:50:00+0000,AAPL,IEXG
243.775,244.49,241.03,,241.5,,2020-03-20T22:45:00+0000,AAPL,IEXG
243.86,244.49,243.03,,243.51,,2020-03-20T22:40:00+0000,AAPL,IEXG
244.805,245.12,243.285,,244.14,,2020-03-20T22:35:00+0000,AAPL,IEXG
245.25,245.905,241.03,,241.5,,2020-03-20T22:30:00+0000,AAPL,IEXG
245.41,245.51,244.76,,245.045,,2020-03-20T22:25:00+0000,AAPL,IEXG
246.01,246.635,244.76,,245.045,,2020-03-20T22:20:00+0000,AAPL,IEXG
246.365,246.635,244.76,,245.045,,2020-03-20T22:15:00+0000,AAPL,IEXG
247.64,247.69,245.71,,246.05,,2020-03-20T22:10:00+0000,AAPL,IEXG
246.89,248.075,246.89,,247.41,,2020-03-20T22:05:00+0000,AAPL,IEXG
246.93,248.075,241.03,,241.5,,2020-03-20T22:00:00+0000,AAPL,IEXG
246.7,247.05,246.395,,247.03,,2020-03-20T21:55:00+0000,AAPL,IEXG
246.85,247.05,246.395,,247.03,,2020-03-20T21:50:00+0000,AAPL,IEXG
247.65,247.93,246.395,,247.03,,2020-03-20T21:45:00+0000,AAPL,IEXG
247.88,247.97,246.43,,246.85,,2020-03-20T21:40:00+0000,AAPL,IEXG
247.67,247.97,247.2,,247.95,,2020-03-20T21:35:00+0000,AAPL,IEXG
248.27,248.63,246.395,,247.03,,2020-03-20T21:30:00+0000,AAPL,IEXG
247.695,247.85,247.13,,247.595,,2020-03-20T21:25:00+0000,AAPL,IEXG
248.84,249.36,247.13,,247.595,,2020-03-20T21:20:00+0000,AAPL,IEXG
249.08,249.66,247.13,,247.595,,2020-03-20T21:15:00+0000,AAPL,IEXG
248.71,249.66,248.62,,248.97,,2020-03-20T21:10:00+0000,AAPL,IEXG
248.79,249.25,248.515,,249.16,,2020-03-20T21:05:00+0000,AAPL,IEXG
247.76,249.66,246.395,,247.03,,2020-03-20T21:00:00+0000,AAPL,IEXG
248.45,248.98,247.73,,247.73,,2020-03-20T20:55:00+0000,AAPL,IEXG
247.555,248.98,247.555,,247.73,,2020-03-20T20:50:00+0000,AAPL,IEXG
247.08,248.98,246.8,,247.73,,2020-03-20T20:45:00+0000,AAPL,IEXG
246.045,247.97,245.62,,247.565,,2020-03-20T20:40:00+0000,AAPL,IEXG
246.265,246.265,245.69,,245.96,,2020-03-20T20:35:00+0000,AAPL,IEXG
245.24,248.98,245.195,,247.73,,2020-03-20T20:30:00+0000,AAPL,IEXG
245.99,246.005,244.4,,245.17,,2020-03-20T20:25:00+0000,AAPL,IEXG
246.31,246.31,244.4,,245.17,,2020-03-20T20:20:00+0000,AAPL,IEXG
