date,open,close,low,high
2019-08-06,46.15,47.17,45.925,47.365
2019-08-07,46.93,45.985,45.78,47.365
2019-08-08,45.755,45.595,45.45,46.285
2019-08-09,45.475,46.855,45.37,47.03
2019-08-12,46.01,45.885,45.65,47.015
2019-08-13,46.05,45.725,45.445,46.17
2019-08-14,46.32,46.495,45.445,46.675
2019-08-15,47.46,47.225,46.49,47.61
2019-08-16,47.015,46.62,46.465,47.395
2019-08-19,47.11,47.215,46.465,47.285
2019-08-20,47.34,46.79,46.705,47.425
2019-08-21,46.35,44.965,44.805,47.095
2019-08-22,45.61,45.5,44.805,45.695
2019-08-23,45.915,45.76,45.425,46.105
2019-08-26,45.76,45.785,45.38,45.99
2019-08-27,46.47,46.83,45.675,47.215
2019-08-28,47.59,47.63,46.815,47.785
2019-08-29,47.98,48.19,47.17,48.61
2019-08-30,47.425,47.425,47.425,48.275
2019-09-03,47.595,48.925,46.96,48.945
2019-09-04,49.95,50.065,48.85,51.165
2019-09-05,50.24,50.955,50.065,50.99
2019-09-06,51.08,51.56,50.77,52.025
2019-09-09,51.33,51.775,50.83,51.805
2019-09-10,51.6,52.775,51.39,52.78
2019-09-11,53.08,53.02,52.065,53.33
2019-09-12,52.84,52.525,52.23,53.225
2019-09-13,51.81,52.23,51.72,52.725
2019-09-16,52.105,51.945,51.355,52.275
2019-09-17,52.005,51.72,51.165,52.08
2019-09-18,51.57,51.605,51.505,51.98
2019-09-19,51.66,50.62,50.62,51.88
2019-09-20,50.79,50.93,50.4,51.22
2019-09-23,51.18,49.79,49.655,51.18
2019-09-24,51.075,51.075,49.43,51.205
2019-09-25,50.875,50.91,46.77,51.205
2019-09-26,50.63,50.775,50.355,51.14
2019-09-27,51.1,51.555,50.345,51.21
2019-09-30,52.0,50.77,51.035,52.23
2019-10-01,50.345,49.375,49.525,51.595
2019-10-02,49.49,50.055,48.535,49.755
2019-10-03,50.31,50.915,48.925,50.53
2019-10-04,50.805,50.605,50.275,51.195
2019-10-07,50.13,49.71,49.6,51.115
2019-10-08,50.3,50.45,49.71,50.545
2019-10-09,50.4,51.055,50.21,51.545
2019-10-10,52.02,52.085,50.79,52.55
2019-10-11,51.905,51.64,51.635,52.775
2019-10-14,51.915,52.64,51.445,52.66
2019-10-15,52.33,52.445,52.23,53.07
2019-10-16,52.63,51.89,51.72,52.825
2019-10-17,51.7,51.35,51.355,51.985
2019-10-18,51.49,52.135,51.03,51.905
2019-10-21,52.185,52.0,51.725,52.295
2019-10-22,51.355,51.725,47.425,52.315
2019-10-23,52.08,54.33,51.425,54.33
2019-10-24,54.095,56.47,52.09,56.615
2019-10-25,56.39,56.755,56.01,56.8
2019-10-28,56.41,56.305,56.24,57.22
2019-10-29,56.31,56.63,55.62,56.725
2019-10-30,56.315,56.555,55.63,56.635
2019-10-31,55.99,56.49,55.635,56.64
2019-11-01,56.98,57.595,56.19,57.805
2019-11-04,57.425,57.575,57.21,58.345
2019-11-05,57.26,57.605,56.98,58.245
2019-11-06,58.1,58.055,57.335,58.545
2019-11-07,57.82,58.255,57.325,58.455
2019-11-08,57.95,58.335,57.875,58.5
2019-11-11,58.43,58.225,58.035,58.805
2019-11-12,57.86,57.935,57.36,58.535
2019-11-13,57.69,57.835,57.36,58.04
2019-11-14,58.14,57.925,57.605,58.7
2019-11-15,58.445,58.435,57.57,58.48
2019-11-18,58.505,58.335,50.35,58.48
2019-11-19,58.28,57.895,57.37,58.37
2019-11-20,57.41,58.285,57.41,58.295
2019-11-21,58.395,57.605,57.495,58.645
2019-11-22,58.05,58.825,57.5,58.825
2019-11-25,58.905,58.93,58.455,59.08
2019-11-26,58.52,58.49,57.905,58.95
2019-11-27,58.49,58.49,58.375,58.56
2019-11-29,58.54,57.69,57.465,58.65
2019-12-02,56.63,56.09,55.75,57.845
2019-12-03,56.61,55.995,55.865,56.62
2019-12-04,56.345,56.07,55.77,56.345
2019-12-05,56.66,56.8,56.03,56.99
2019-12-06,56.515,56.52,56.515,56.99
2019-12-09,56.72,56.59,56.435,56.83
2019-12-10,56.885,57.03,56.49,57.17
2019-12-11,56.79,57.54,56.665,58.04
2019-12-12,57.935,57.92,57.39,58.335
2019-12-13,58.05,57.285,51.205,58.08
2019-12-16,57.45,57.145,56.965,57.66
2019-12-17,57.185,57.95,56.965,57.83
2019-12-18,58.005,58.895,57.495,58.62
