open,high,low,last,close,volume,date,symbol,exchange
110.53,111.25,106.1,107.5,110.34,1021462.0,2020-09-18T18:25:00+0000,AAPL,IEXG
110.53,111.25,106.1,106.99,110.34,1012300.0,2020-09-18T18:20:00+0000,AAPL,IEXG
110.53,111.25,106.1,107.09,110.34,1008782.0,2020-09-18T18:15:00+0000,AAPL,IEXG
110.53,111.25,106.1,107.18,110.34,1001453.0,2020-09-18T18:10:00+0000,AAPL,IEXG
110.53,111.25,106.1,106.975,110.34,997050.0,2020-09-18T18:05:00+0000,AAPL,IEXG
110.53,111.25,106.1,107.25,110.34,989887.0,2020-09-18T18:00:00+0000,AAPL,IEXG
110.53,111.25,106.1,106.98,110.34,971825.0,2020-09-18T17:50:00+0000,AAPL,IEXG
110.53,111.25,106.1,106.49,110.34,884452.0,2020-09-18T17:45:00+0000,AAPL,IEXG
110.53,111.25,106.1,106.56,110.34,850566.0,2020-09-18T17:35:00+0000,AAPL,IEXG
110.53,111.25,106.2,106.24,110.34,838777.0,2020-09-18T17:30:00+0000,AAPL,IEXG
110.53,111.25,106.72,106.78,110.34,730500.0,2020-09-18T16:50:00+0000,AAPL,IEXG
110.53,111.25,106.72,106.98,110.34,722381.0,2020-09-18T16:45:00+0000,AAPL,IEXG
110.53,111.25,106.995,107.06,110.34,711978.0,2020-09-18T16:40:00+0000,AAPL,IEXG
110.53,111.25,106.995,107.13,110.34,696582.0,2020-09-18T16:35:00+0000,AAPL,IEXG
110.53,111.25,107.245,107.565,110.34,672989.0,2020-09-18T16:30:00+0000,AAPL,IEXG
110.53,111.25,107.245,107.47,110.34,650683.0,2020-09-18T16:20:00+0000,AAPL,IEXG
110.53,111.25,107.245,107.75,110.34,633725.0,2020-09-18T16:15:00+0000,AAPL,IEXG
110.53,111.25,107.245,108.345,110.34,615040.0,2020-09-18T16:10:00+0000,AAPL,IEXG
110.53,111.25,107.245,108.1,110.34,608257.0,2020-09-18T16:05:00+0000,AAPL,IEXG
110.53,111.25,107.245,108.07,110.34,597653.0,2020-09-18T16:00:00+0000,AAPL,IEXG
110.53,111.25,107.245,108.095,110.34,587903.0,2020-09-18T15:55:00+0000,AAPL,IEXG
110.53,111.25,107.245,108.14,110.34,547010.0,2020-09-18T15:50:00+0000,AAPL,IEXG
110.53,111.25,107.245,107.435,110.34,525034.0,2020-09-18T15:45:00+0000,AAPL,IEXG
110.53,111.25,107.245,107.61,110.34,491147.0,2020-09-18T15:40:00+0000,AAPL,IEXG
110.53,111.25,107.44,107.44,110.34,473927.0,2020-09-18T15:35:00+0000,AAPL,IEXG
110.53,111.25,107.58,107.9,110.34,454453.0,2020-09-18T15:30:00+0000,AAPL,IEXG
110.53,111.25,107.58,108.03,110.34,435807.0,2020-09-18T15:25:00+0000,AAPL,IEXG
110.53,111.25,107.58,107.83,110.34,426437.0,2020-09-18T15:20:00+0000,AAPL,IEXG
110.53,111.25,107.58,108.37,110.34,397749.0,2020-09-18T15:10:00+0000,AAPL,IEXG
110.53,111.25,107.58,107.995,110.34,391084.0,2020-09-18T15:05:00+0000,AAPL,IEXG
110.53,111.25,108.08,108.225,110.34,350361.0,2020-09-18T15:00:00+0000,AAPL,IEXG
110.53,111.25,108.25,108.395,110.34,331450.0,2020-09-18T14:55:00+0000,AAPL,IEXG
110.53,111.25,108.58,108.74,110.34,308288.0,2020-09-18T14:50:00+0000,AAPL,IEXG
110.53,111.25,108.58,109.09,110.34,292085.0,2020-09-18T14:45:00+0000,AAPL,IEXG
110.53,111.25,108.58,108.7,110.34,278014.0,2020-09-18T14:40:00+0000,AAPL,IEXG
110.53,111.25,108.685,108.685,110.34,245433.0,2020-09-18T14:35:00+0000,AAPL,IEXG
110.53,111.25,109.02,109.61,110.34,224096.0,2020-09-18T14:25:00+0000,AAPL,IEXG
110.53,111.25,109.02,109.725,110.34,214894.0,2020-09-18T14:20:00+0000,AAPL,IEXG
110.53,111.25,109.02,109.79,110.34,200211.0,2020-09-18T14:15:00+0000,AAPL,IEXG
110.53,111.25,109.02,109.695,110.34,179597.0,2020-09-18T14:10:00+0000,AAPL,IEXG
110.53,111.25,109.02,109.64,110.34,167818.0,2020-09-18T14:05:00+0000,AAPL,IEXG
110.53,111.25,109.02,109.395,110.34,147942.0,2020-09-18T14:00:00+0000,AAPL,IEXG
110.53,111.25,109.02,109.44,110.34,133021.0,2020-09-18T13:55:00+0000,AAPL,IEXG
110.53,111.25,109.02,109.095,110.34,122371.0,2020-09-18T13:50:00+0000,AAPL,IEXG
110.53,111.25,109.53,109.98,110.34,107144.0,2020-09-18T13:45:00+0000,AAPL,IEXG
110.53,111.25,109.9,110.18,110.34,69023.0,2020-09-18T13:35:00+0000,AAPL,IEXG
